Altium Designer Pick and Place Locations
D:\proj_temp\VESC-controller-751k\AD_proj_KS75600_epw\Project Outputs for VESC_KS75600\Pick Place for VESC_KS75600.csv

========================================================================================================================
File Design Information:

Date:       01-11-23
Time:       12:46
Revision:   412656df9e533fbda3cdfab11d1b69e6832286a5
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"IC21","LM5164","TopLayer","SOP8_EPAD_L","-73.5000","0.0000","270"
"VD3","DSF1D","TopLayer","SOD-123","-46.0000","-38.0000","270"
"VD2","DSF1D","TopLayer","SOD-123","-50.4365","-38.0087","270"
"VD1","DSF1D","TopLayer","SOD-123","-54.9365","-38.0087","270"
"JP19","M6-12-1.5接线柱底座","TopLayer","接线柱底座焊盘","34.5000","22.0000","180"
"JP18","M6-12-1.5接线柱底座","TopLayer","接线柱底座焊盘","34.5000","45.5000","180"
"E8","330uf  ERF1KM331L20OT 100v","TopLayer","CAP_7.5*16*25_-_GD","-23.9619","26.5000","270"
"R113","1k","TopLayer","R_0603","-10.2502","-46.7500","0"
"R112","220r","TopLayer","R_0603","-11.2500","-40.5002","90"
"R111","1k","TopLayer","R_0603","-9.2500","-40.4998","270"
"Q3","S9013","TopLayer","SOT23-3N","-10.2500","-43.5000","0"
"B2","DC5V","TopLayer","BEEP_5x9x5.5","-7.5000","-34.5000","90"
"J3","YMC15S","TopLayer","YMC15S","-56.0001","1.9473","0"
"J2","YMC15S","TopLayer","YMC15S","-0.0001","1.9473","0"
"J1","YMC15S","TopLayer","YMC15S","55.9999","1.9473","0"
"X1","8M 无源 10pf","TopLayer","XTAL-3225","17.0475","-29.5943","180"
"V3","CJ7805","TopLayer","TO252","-48.9338","-18.2360","270"
"V2","TLV1117LV33DCYR","TopLayer","SOT223_L","23.2500","-13.5000","180"
"V1","CJ7805","TopLayer","TO252","-61.9338","-25.7360","270"
"USB1","USB-C/P_8+4+4(三次模顶)","TopLayer","USB-C/S_16_0D_F","65.0000","-42.7135","0"
"U2","MC74HC365ADTR2G","TopLayer","TSSOP16_L","-11.5000","-18.2500","180"
"U1","STM32F405RGT6","TopLayer","LQFP64_10x10_L","28.9999","-33.2502","270"
"R110","10k","TopLayer","R_0805","3.7500","-31.7500","90"
"R109","10k","TopLayer","R_0805","-3.7500","-18.0000","270"
"R108","10k","TopLayer","R_0805","3.7500","-36.0000","270"
"R107","10k","TopLayer","R_0805","-3.7500","-23.2500","90"
"R106","10k","TopLayer","R_0805","3.7500","-15.7500","270"
"R105","10k","TopLayer","R_0805","3.7500","-27.2500","90"
"R104","10k","TopLayer","R_0603","3.7500","-23.2502","90"
"R103","4.7k 0.1% 25ppm","TopLayer","R_0805","-5.0000","-26.7500","180"
